District,Month,Visitors,Year,Season
Nirmal,3,0,2023,Summer
Nirmal,4,0,2023,Summer
Nirmal,5,0,2023,Summer
Nirmal,6,0,2023,Monsoon
Nirmal,7,0,2023,Monsoon
Nirmal,8,0,2023,Monsoon
Nirmal,9,0,2023,Monsoon
Nirmal,10,0,2023,Autumn
Nirmal,11,0,2023,Autumn
Nirmal,12,0,2023,Winter
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",1,20226,2023,Winter
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",2,18838,2023,Winter
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",3,20599,2023,Summer
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",4,5802,2023,Summer
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",5,8674,2023,Summer
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",6,9320,2023,Monsoon
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",7,12893,2023,Monsoon
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",8,7979,2023,Monsoon
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",9,17984,2023,Monsoon
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",10,11021,2023,Autumn
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",11,13031,2023,Autumn
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",12,14178,2023,Winter
Karimnagar,1,0,2023,Winter
Karimnagar,2,0,2023,Winter
Karimnagar,3,0,2023,Summer
Karimnagar,4,0,2023,Summer
Karimnagar,5,0,2023,Summer
Karimnagar,6,0,2023,Monsoon
Karimnagar,7,0,2023,Monsoon
Karimnagar,8,0,2023,Monsoon
Karimnagar,9,0,2023,Monsoon
Karimnagar,10,0,2023,Autumn
Karimnagar,11,0,2023,Autumn
Karimnagar,12,0,2023,Winter
Jagtial,1,0,2023,Winter
Jagtial,2,0,2023,Winter
Jagtial,3,0,2023,Summer
Jagtial,4,0,2023,Summer
Jagtial,5,0,2023,Summer
Jagtial,6,0,2023,Monsoon
Jagtial,7,0,2023,Monsoon
Jagtial,8,0,2023,Monsoon
Jagtial,9,0,2023,Monsoon
Jagtial,10,0,2023,Autumn
Jagtial,11,0,2023,Autumn
Jagtial,12,0,2023,Winter
Peddapalli,1,0,2023,Winter
Peddapalli,2,0,2023,Winter
Peddapalli,3,0,2023,Summer
Peddapalli,4,0,2023,Summer
Peddapalli,5,0,2023,Summer
Peddapalli,6,0,2023,Monsoon
Peddapalli,7,0,2023,Monsoon
Peddapalli,8,0,2023,Monsoon
Peddapalli,9,0,2023,Monsoon
Peddapalli,10,0,2023,Autumn
Peddapalli,11,0,2023,Autumn
Peddapalli,12,0,2023,Winter
Rajarina Sircilla,1,0,2023,Winter
Rajarina Sircilla,2,0,2023,Winter
Rajarina Sircilla,3,0,2023,Summer
Rajarina Sircilla,4,0,2023,Summer
Rajarina Sircilla,5,0,2023,Summer
Rajarina Sircilla,6,0,2023,Monsoon
Rajarina Sircilla,7,0,2023,Monsoon
Rajarina Sircilla,8,0,2023,Monsoon
Rajarina Sircilla,9,0,2023,Monsoon
Rajarina Sircilla,10,0,2023,Autumn
Rajarina Sircilla,11,0,2023,Autumn
Rajarina Sircilla,12,0,2023,Winter
Khammam,1,0,2023,Winter
Khammam,2,0,2023,Winter
Khammam,3,0,2023,Summer
Khammam,4,0,2023,Summer
Khammam,5,0,2023,Summer
Khammam,6,0,2023,Monsoon
Khammam,7,0,2023,Monsoon
Khammam,8,0,2023,Monsoon
Khammam,9,0,2023,Monsoon
Khammam,10,0,2023,Autumn
Khammam,11,0,2023,Autumn
Khammam,12,0,2023,Winter
Bhadradri Kothagudem,1,0,2023,Winter
Bhadradri Kothagudem,2,0,2023,Winter
Bhadradri Kothagudem,3,0,2023,Summer
Bhadradri Kothagudem,4,0,2023,Summer
Bhadradri Kothagudem,5,0,2023,Summer
Bhadradri Kothagudem,6,0,2023,Monsoon
Bhadradri Kothagudem,7,0,2023,Monsoon
Bhadradri Kothagudem,8,0,2023,Monsoon
Bhadradri Kothagudem,9,0,2023,Monsoon
Bhadradri Kothagudem,10,0,2023,Autumn
Bhadradri Kothagudem,11,0,2023,Autumn
Bhadradri Kothagudem,12,0,2023,Winter
Mababubnagar,1,0,2023,Winter
Mababubnagar,2,0,2023,Winter
Mababubnagar,3,0,2023,Summer
Mababubnagar,4,0,2023,Summer
Mababubnagar,5,0,2023,Summer
Mababubnagar,6,0,2023,Monsoon
Mababubnagar,7,0,2023,Monsoon
Mababubnagar,8,0,2023,Monsoon
Mababubnagar,9,0,2023,Monsoon
Mababubnagar,10,0,2023,Autumn
Mababubnagar,11,0,2023,Autumn
Mababubnagar,12,0,2023,Winter
Jogulamha Gadwal,1,0,2023,Winter
Jogulamha Gadwal,2,0,2023,Winter
Jogulamha Gadwal,3,0,2023,Summer
Jogulamha Gadwal,4,0,2023,Summer
Jogulamha Gadwal,5,0,2023,Summer
Jogulamha Gadwal,6,0,2023,Monsoon
Jogulamha Gadwal,7,0,2023,Monsoon
Jogulamha Gadwal,8,0,2023,Monsoon
Jogulamha Gadwal,9,0,2023,Monsoon
Jogulamha Gadwal,10,0,2023,Autumn
Jogulamha Gadwal,11,0,2023,Autumn
Jogulamha Gadwal,12,0,2023,Winter
Nagarkurnool,1,0,2023,Winter
Nagarkurnool,2,0,2023,Winter
Nagarkurnool,3,0,2023,Summer
Nagarkurnool,4,0,2023,Summer
Nagarkurnool,5,0,2023,Summer
Nagarkurnool,6,0,2023,Monsoon
Nagarkurnool,7,0,2023,Monsoon
Nagarkurnool,8,0,2023,Monsoon
Nagarkurnool,9,0,2023,Monsoon
Nagarkurnool,10,0,2023,Autumn
Nagarkurnool,11,0,2023,Autumn
Nagarkurnool,12,0,2023,Winter
Wanaparthy,1,0,2023,Winter
Wanaparthy,2,0,2023,Winter
Wanaparthy,3,0,2023,Summer
Wanaparthy,4,0,2023,Summer
Wanaparthy,5,0,2023,Summer
Wanaparthy,6,0,2023,Monsoon
Wanaparthy,7,0,2023,Monsoon
Wanaparthy,8,0,2023,Monsoon
Wanaparthy,9,0,2023,Monsoon
Wanaparthy,10,0,2023,Autumn
Wanaparthy,11,0,2023,Autumn
Wanaparthy,12,0,2023,Winter
Narayanapet,1,0,2023,Winter
Narayanapet,2,0,2023,Winter
Narayanapet,3,0,2023,Summer
Narayanapet,4,0,2023,Summer
Narayanapet,5,0,2023,Summer
Narayanapet,6,0,2023,Monsoon
Narayanapet,7,0,2023,Monsoon
Narayanapet,8,0,2023,Monsoon
Narayanapet,9,0,2023,Monsoon
Narayanapet,10,0,2023,Autumn
Narayanapet,11,0,2023,Autumn
Narayanapet,12,0,2023,Winter
Medak,1,0,2023,Winter
Medak,2,0,2023,Winter
Medak,3,0,2023,Summer
Medak,4,0,2023,Summer
Medak,5,0,2023,Summer
Medak,6,0,2023,Monsoon
Medak,7,0,2023,Monsoon
Medak,8,0,2023,Monsoon
Medak,9,0,2023,Monsoon
Medak,10,0,2023,Autumn
Medak,11,0,2023,Autumn
Medak,12,0,2023,Winter
Sangareddy,1,0,2023,Winter
Sangareddy,2,0,2023,Winter
Sangareddy,3,0,2023,Summer
Sangareddy,4,0,2023,Summer
Sangareddy,5,0,2023,Summer
Sangareddy,6,0,2023,Monsoon
Sangareddy,7,0,2023,Monsoon
Sangareddy,8,0,2023,Monsoon
Sangareddy,9,0,2023,Monsoon
Sangareddy,10,0,2023,Autumn
Sangareddy,11,0,2023,Autumn
Sangareddy,12,0,2023,Winter
Siddipet,1,0,2023,Winter
Siddipet,2,0,2023,Winter
Siddipet,3,0,2023,Summer
Siddipet,4,0,2023,Summer
Siddipet,5,0,2023,Summer
Siddipet,6,0,2023,Monsoon
Siddipet,7,0,2023,Monsoon
Siddipet,8,0,2023,Monsoon
Siddipet,9,0,2023,Monsoon
Siddipet,10,0,2023,Autumn
Siddipet,11,0,2023,Autumn
Siddipet,12,0,2023,Winter
Nalgonda & Suryapet,1,0,2023,Winter
Nalgonda & Suryapet,2,0,2023,Winter
Nalgonda & Suryapet,3,0,2023,Summer
Nalgonda & Suryapet,4,0,2023,Summer
Nalgonda & Suryapet,5,0,2023,Summer
Nalgonda & Suryapet,6,0,2023,Monsoon
Nalgonda & Suryapet,7,0,2023,Monsoon
Nalgonda & Suryapet,8,0,2023,Monsoon
Nalgonda & Suryapet,9,0,2023,Monsoon
Nalgonda & Suryapet,10,0,2023,Autumn
Nalgonda & Suryapet,11,0,2023,Autumn
Nalgonda & Suryapet,12,0,2023,Winter
Yadadri Bhongir,1,0,2023,Winter
Yadadri Bhongir,2,29,2023,Winter
Yadadri Bhongir,3,0,2023,Summer
Yadadri Bhongir,4,0,2023,Summer
Yadadri Bhongir,5,0,2023,Summer
Yadadri Bhongir,6,0,2023,Monsoon
Yadadri Bhongir,7,7,2023,Monsoon
Yadadri Bhongir,8,0,2023,Monsoon
Yadadri Bhongir,9,0,2023,Monsoon
Yadadri Bhongir,10,0,2023,Autumn
Yadadri Bhongir,11,0,2023,Autumn
Yadadri Bhongir,12,0,2023,Winter
Nizamabad,1,0,2023,Winter
Nizamabad,2,0,2023,Winter
Nizamabad,3,0,2023,Summer
Nizamabad,4,0,2023,Summer
Nizamabad,5,0,2023,Summer
Nizamabad,6,0,2023,Monsoon
Nizamabad,7,0,2023,Monsoon
Nizamabad,8,0,2023,Monsoon
Nizamabad,9,0,2023,Monsoon
Nizamabad,10,0,2023,Autumn
Nizamabad,11,0,2023,Autumn
Nizamabad,12,0,2023,Winter
Kamareddy,1,0,2023,Winter
Kamareddy,2,0,2023,Winter
Kamareddy,3,0,2023,Summer
Kamareddy,4,0,2023,Summer
Kamareddy,5,0,2023,Summer
Kamareddy,6,0,2023,Monsoon
Kamareddy,7,0,2023,Monsoon
Kamareddy,8,0,2023,Monsoon
Kamareddy,9,0,2023,Monsoon
Kamareddy,10,0,2023,Autumn
Kamareddy,11,0,2023,Autumn
Kamareddy,12,0,2023,Winter
Hanumakonda,1,5,2023,Winter
Hanumakonda,2,7,2023,Winter
Hanumakonda,3,9,2023,Summer
Hanumakonda,4,9,2023,Summer
Hanumakonda,5,10,2023,Summer
Hanumakonda,6,8,2023,Monsoon
Hanumakonda,7,9,2023,Monsoon
Hanumakonda,8,10,2023,Monsoon
Hanumakonda,9,8,2023,Monsoon
Hanumakonda,10,10,2023,Autumn
Hanumakonda,11,10,2023,Autumn
Hanumakonda,12,10,2023,Winter
Warangal (Rural),1,6,2023,Winter
Warangal (Rural),2,6,2023,Winter
Warangal (Rural),3,6,2023,Summer
Warangal (Rural),4,8,2023,Summer
Warangal (Rural),5,10,2023,Summer
Warangal (Rural),6,6,2023,Monsoon
Warangal (Rural),7,8,2023,Monsoon
Warangal (Rural),8,9,2023,Monsoon
Warangal (Rural),9,9,2023,Monsoon
Warangal (Rural),10,10,2023,Autumn
Warangal (Rural),11,11,2023,Autumn
Warangal (Rural),12,10,2023,Winter
Jangann,1,0,2023,Winter
Jangann,2,0,2023,Winter
Jangann,3,0,2023,Summer
Jangann,4,0,2023,Summer
Jangann,5,0,2023,Summer
Jangann,6,0,2023,Monsoon
Jangann,7,0,2023,Monsoon
Jangann,8,0,2023,Monsoon
Jangann,9,0,2023,Monsoon
Jangann,10,0,2023,Autumn
Jangann,11,0,2023,Autumn
Jangann,12,0,2023,Winter
Jayashankar Bhoopalpally,1,0,2023,Winter
Jayashankar Bhoopalpally,2,0,2023,Winter
Jayashankar Bhoopalpally,3,0,2023,Summer
Jayashankar Bhoopalpally,4,0,2023,Summer
Jayashankar Bhoopalpally,5,0,2023,Summer
Jayashankar Bhoopalpally,6,0,2023,Monsoon
Jayashankar Bhoopalpally,7,0,2023,Monsoon
Jayashankar Bhoopalpally,8,0,2023,Monsoon
Jayashankar Bhoopalpally,9,0,2023,Monsoon
Jayashankar Bhoopalpally,10,0,2023,Autumn
Jayashankar Bhoopalpally,11,0,2023,Autumn
Jayashankar Bhoopalpally,12,0,2023,Winter
Mahabubabad,1,0,2023,Winter
Mahabubabad,2,0,2023,Winter
Mahabubabad,3,0,2023,Summer
Mahabubabad,4,0,2023,Summer
Mahabubabad,5,0,2023,Summer
Mahabubabad,6,0,2023,Monsoon
Mahabubabad,7,0,2023,Monsoon
Mahabubabad,8,0,2023,Monsoon
Mahabubabad,9,0,2023,Monsoon
Mahabubabad,10,0,2023,Autumn
Mahabubabad,11,0,2023,Autumn
Mahabubabad,12,0,2023,Winter
Mulugu,1,10,2023,Winter
Mulugu,2,8,2023,Winter
Mulugu,3,15,2023,Summer
Mulugu,4,15,2023,Summer
Mulugu,5,13,2023,Summer
Mulugu,6,8,2023,Monsoon
Mulugu,7,8,2023,Monsoon
Mulugu,8,10,2023,Monsoon
Mulugu,9,10,2023,Monsoon
Mulugu,10,10,2023,Autumn
Mulugu,11,10,2023,Autumn
Mulugu,12,10,2023,Winter
Adilabad,1,621850,2020,Winter
Adilabad,2,29421,2020,Winter
Adilabad,3,9430,2020,Summer
Adilabad,6,1909,2020,Monsoon
Adilabad,7,549,2020,Monsoon
Adilabad,8,654,2020,Monsoon
Adilabad,9,3978,2020,Monsoon
Adilabad,10,15128,2020,Autumn
Adilabad,11,27525,2020,Autumn
Adilabad,12,61403,2020,Winter
Bhadradri Kothagudem ,1,269310,2020,Winter
Bhadradri Kothagudem ,2,238140,2020,Winter
Bhadradri Kothagudem ,3,79871,2020,Summer
Bhadradri Kothagudem ,6,15399,2020,Monsoon
Bhadradri Kothagudem ,7,15130,2020,Monsoon
Bhadradri Kothagudem ,8,26350,2020,Monsoon
Bhadradri Kothagudem ,9,30957,2020,Monsoon
Bhadradri Kothagudem ,10,49203,2020,Autumn
Bhadradri Kothagudem ,11,76900,2020,Autumn
Bhadradri Kothagudem ,12,80842,2020,Winter
Hyderabad,1,1157153,2020,Winter
Hyderabad,2,868641,2020,Winter
Hyderabad,3,321650,2020,Summer
Hyderabad,9,21861,2020,Monsoon
Hyderabad,10,167510,2020,Autumn
Hyderabad,11,272276,2020,Autumn
Hyderabad,12,442895,2020,Winter
Jagtial ,1,340174,2020,Winter
Jagtial ,2,186484,2020,Winter
Jagtial ,3,347014,2020,Summer
Jagtial ,6,14228,2020,Monsoon
Jagtial ,7,41752,2020,Monsoon
Jagtial ,8,34496,2020,Monsoon
Jagtial ,9,83012,2020,Monsoon
Jagtial ,10,83004,2020,Autumn
Jagtial ,11,154438,2020,Autumn
Jagtial ,12,155757,2020,Winter
Jangaon ,1,28150,2020,Winter
Jangaon ,2,26390,2020,Winter
Jangaon ,3,21430,2020,Summer
Jangaon ,7,2600,2020,Monsoon
Jangaon ,8,2750,2020,Monsoon
Jangaon ,9,2700,2020,Monsoon
Jangaon ,10,3050,2020,Autumn
Jangaon ,11,12070,2020,Autumn
Jangaon ,12,11860,2020,Winter
Jayashankar Bhoopalpally,1,50500,2020,Winter
Jayashankar Bhoopalpally,2,59000,2020,Winter
Jayashankar Bhoopalpally,3,34200,2020,Summer
Jayashankar Bhoopalpally,7,5600,2020,Monsoon
Jayashankar Bhoopalpally,8,7000,2020,Monsoon
Jayashankar Bhoopalpally,9,7600,2020,Monsoon
Jayashankar Bhoopalpally,10,8000,2020,Autumn
Jayashankar Bhoopalpally,11,15000,2020,Autumn
Jayashankar Bhoopalpally,12,15200,2020,Winter
Jogulamba Gadwal ,1,146441,2020,Winter
Jogulamba Gadwal ,2,481110,2020,Winter
Jogulamba Gadwal ,3,24013,2020,Summer
Jogulamba Gadwal ,6,26013,2020,Monsoon
Jogulamba Gadwal ,7,88182,2020,Monsoon
Jogulamba Gadwal ,8,106925,2020,Monsoon
Jogulamba Gadwal ,9,131485,2020,Monsoon
Jogulamba Gadwal ,10,116753,2020,Autumn
Jogulamba Gadwal ,11,228325,2020,Autumn
Jogulamba Gadwal ,12,184380,2020,Winter
Kamareddy ,1,45,2020,Winter
Kamareddy ,2,42,2020,Winter
Kamareddy ,3,30,2020,Summer
Kamareddy ,7,38,2020,Monsoon
Kamareddy ,8,42,2020,Monsoon
Kamareddy ,9,55,2020,Monsoon
Kamareddy ,10,39,2020,Autumn
Kamareddy ,11,46,2020,Autumn
Kamareddy ,12,48,2020,Winter
Karimnagar ,1,12057,2020,Winter
Karimnagar ,2,8359,2020,Winter
Karimnagar ,3,6100,2020,Summer
Karimnagar ,6,540,2020,Monsoon
Karimnagar ,7,850,2020,Monsoon
Karimnagar ,8,2500,2020,Monsoon
Karimnagar ,9,2250,2020,Monsoon
Karimnagar ,10,3258,2020,Autumn
Karimnagar ,11,4100,2020,Autumn
Karimnagar ,12,4200,2020,Winter
Khammam,1,114752,2020,Winter
Khammam,2,114417,2020,Winter
Khammam,3,57137,2020,Summer
Khammam,6,12806,2020,Monsoon
Khammam,7,9104,2020,Monsoon
Khammam,8,7942,2020,Monsoon
Khammam,9,9078,2020,Monsoon
Khammam,10,27858,2020,Autumn
Khammam,11,40647,2020,Autumn
Khammam,12,37084,2020,Winter
Komaram Bheem Asifabad,1,2463,2020,Winter
Komaram Bheem Asifabad,2,1593,2020,Winter
Komaram Bheem Asifabad,3,812,2020,Summer
Komaram Bheem Asifabad,6,60,2020,Monsoon
Komaram Bheem Asifabad,7,56,2020,Monsoon
Komaram Bheem Asifabad,8,55,2020,Monsoon
Komaram Bheem Asifabad,9,165,2020,Monsoon
Komaram Bheem Asifabad,10,533,2020,Autumn
Komaram Bheem Asifabad,11,637,2020,Autumn
Komaram Bheem Asifabad,12,649,2020,Winter
Mahabubabad ,1,12290,2020,Winter
Mahabubabad ,2,12180,2020,Winter
Mahabubabad ,3,8300,2020,Summer
Mahabubabad ,7,1400,2020,Monsoon
Mahabubabad ,8,1800,2020,Monsoon
Mahabubabad ,9,1950,2020,Monsoon
Mahabubabad ,10,2200,2020,Autumn
Mahabubabad ,11,3450,2020,Autumn
Mahabubabad ,12,3370,2020,Winter
Mahbubnagar,1,122530,2020,Winter
Mahbubnagar,2,552303,2020,Winter
Mahbubnagar,3,25577,2020,Summer
Mahbubnagar,6,20956,2020,Monsoon
Mahbubnagar,7,60255,2020,Monsoon
Mahbubnagar,8,73928,2020,Monsoon
Mahbubnagar,9,135984,2020,Monsoon
Mahbubnagar,10,94083,2020,Autumn
Mahbubnagar,11,98683,2020,Autumn
Mahbubnagar,12,111514,2020,Winter
Mancherial,1,25661,2020,Winter
Mancherial,2,41809,2020,Winter
Mancherial,3,9855,2020,Summer
Mancherial,6,210,2020,Monsoon
Mancherial,7,290,2020,Monsoon
Mancherial,8,302,2020,Monsoon
Mancherial,9,2758,2020,Monsoon
Mancherial,10,4745,2020,Autumn
Mancherial,11,6717,2020,Autumn
Mancherial,12,10439,2020,Winter
Medak ,1,286340,2020,Winter
Medak ,2,818750,2020,Winter
Medak ,3,288800,2020,Summer
Medak ,6,5300,2020,Monsoon
Medak ,7,4325,2020,Monsoon
Medak ,8,15380,2020,Monsoon
Medak ,9,15880,2020,Monsoon
Medak ,10,17380,2020,Autumn
Medak ,11,45000,2020,Autumn
Medak ,12,55000,2020,Winter
Medchal ,1, ,2020,Winter
Medchal ,2, ,2020,Winter
Medchal ,3, ,2020,Summer
Medchal ,4, ,2020,Summer
Medchal ,5, ,2020,Summer
Medchal ,6, ,2020,Monsoon
Medchal ,7, ,2020,Monsoon
Medchal ,8, ,2020,Monsoon
Medchal ,9, ,2020,Monsoon
Medchal ,10, ,2020,Autumn
Medchal ,11, ,2020,Autumn
Medchal ,12, ,2020,Winter
Mulugu,1,3653000,2020,Winter
Mulugu,2,9157200,2020,Winter
Mulugu,3,118500,2020,Summer
Mulugu,7,4550,2020,Monsoon
Mulugu,8,8300,2020,Monsoon
Mulugu,9,11300,2020,Monsoon
Mulugu,10,17600,2020,Autumn
Mulugu,11,57200,2020,Autumn
Mulugu,12,60900,2020,Winter
Nagarkurnool ,1,228812,2020,Winter
Nagarkurnool ,2,286258,2020,Winter
Nagarkurnool ,3,32333,2020,Summer
Nagarkurnool ,6,34508,2020,Monsoon
Nagarkurnool ,7,66655,2020,Monsoon
Nagarkurnool ,8,80155,2020,Monsoon
Nagarkurnool ,9,175712,2020,Monsoon
Nagarkurnool ,10,95788,2020,Autumn
Nagarkurnool ,11,77869,2020,Autumn
Nagarkurnool ,12,85280,2020,Winter
Nalgonda,1,10127,2020,Winter
Nalgonda,2,9154,2020,Winter
Nalgonda,3,772,2020,Summer
Nalgonda,6,218,2020,Monsoon
Nalgonda,7,224,2020,Monsoon
Nalgonda,8,558,2020,Monsoon
Nalgonda,9,2480,2020,Monsoon
Nalgonda,10,8541,2020,Autumn
Nalgonda,11,6242,2020,Autumn
Nalgonda,12,8514,2020,Winter
Narayanapet,1,47272,2020,Winter
Narayanapet,2,244657,2020,Winter
Narayanapet,3,21907,2020,Summer
Narayanapet,6,20907,2020,Monsoon
Narayanapet,7,39820,2020,Monsoon
Narayanapet,8,34777,2020,Monsoon
Narayanapet,9,62841,2020,Monsoon
Narayanapet,10,52309,2020,Autumn
Narayanapet,11,49597,2020,Autumn
Narayanapet,12,56031,2020,Winter
Nirmal,1,368292,2020,Winter
Nirmal,2,299646,2020,Winter
Nirmal,3,253116,2020,Summer
Nirmal,6,5040,2020,Monsoon
Nirmal,7,9212,2020,Monsoon
Nirmal,8,10336,2020,Monsoon
Nirmal,9,13377,2020,Monsoon
Nirmal,10,28586,2020,Autumn
Nirmal,11,73126,2020,Autumn
Nirmal,12,110808,2020,Winter
Nizamabad,1,7540,2020,Winter
Nizamabad,2,6400,2020,Winter
Nizamabad,3,6750,2020,Summer
Nizamabad,7,1620,2020,Monsoon
Nizamabad,8,2020,2020,Monsoon
Nizamabad,9,10050,2020,Monsoon
Nizamabad,10,6310,2020,Autumn
Nizamabad,11,10900,2020,Autumn
Nizamabad,12,40400,2020,Winter
Peddapalli,1,2945,2020,Winter
Peddapalli,2,2315,2020,Winter
Peddapalli,3,1450,2020,Summer
Peddapalli,6,445,2020,Monsoon
Peddapalli,7,250,2020,Monsoon
Peddapalli,8,1250,2020,Monsoon
Peddapalli,9,800,2020,Monsoon
Peddapalli,10,600,2020,Autumn
Peddapalli,11,650,2020,Autumn
Peddapalli,12,1105,2020,Winter
Rajanna Sircilla ,1,2298291,2020,Winter
Rajanna Sircilla ,2,963871,2020,Winter
Rajanna Sircilla ,3,885559,2020,Summer
Rajanna Sircilla ,6,76026,2020,Monsoon
Rajanna Sircilla ,7,60636,2020,Monsoon
Rajanna Sircilla ,8,110783,2020,Monsoon
Rajanna Sircilla ,9,121976,2020,Monsoon
Rajanna Sircilla ,10,181929,2020,Autumn
Rajanna Sircilla ,11,391170,2020,Autumn
Rajanna Sircilla ,12,535298,2020,Winter
Ranga Reddy,1, ,2020,Winter
Ranga Reddy,2, ,2020,Winter
Ranga Reddy,3, ,2020,Summer
Ranga Reddy,4, ,2020,Summer
Ranga Reddy,5, ,2020,Summer
Ranga Reddy,6, ,2020,Monsoon
Ranga Reddy,7, ,2020,Monsoon
Ranga Reddy,8, ,2020,Monsoon
Ranga Reddy,9, ,2020,Monsoon
Ranga Reddy,10, ,2020,Autumn
Ranga Reddy,11, ,2020,Autumn
Ranga Reddy,12, ,2020,Winter
Sangareddy ,1,213000,2020,Winter
Sangareddy ,2,755000,2020,Winter
Sangareddy ,3,235000,2020,Summer
Sangareddy ,6,9500,2020,Monsoon
Sangareddy ,7,27400,2020,Monsoon
Sangareddy ,8,45400,2020,Monsoon
Sangareddy ,9,47900,2020,Monsoon
Sangareddy ,10,55400,2020,Autumn
Sangareddy ,11,149000,2020,Autumn
Sangareddy ,12,167000,2020,Winter
Siddipet,1,473350,2020,Winter
Siddipet,2,204885,2020,Winter
Siddipet,3,123000,2020,Summer
Siddipet,6,19846,2020,Monsoon
Siddipet,7,23864,2020,Monsoon
Siddipet,8,27307,2020,Monsoon
Siddipet,9,30980,2020,Monsoon
Siddipet,10,73367,2020,Autumn
Siddipet,11,72049,2020,Autumn
Siddipet,12,173000,2020,Winter
Suryapet,1, ,2020,Winter
Suryapet,2, ,2020,Winter
Suryapet,3, ,2020,Summer
Suryapet,4, ,2020,Summer
Suryapet,5, ,2020,Summer
Suryapet,6, ,2020,Monsoon
Suryapet,7, ,2020,Monsoon
Suryapet,8, ,2020,Monsoon
Suryapet,9, ,2020,Monsoon
Suryapet,10, ,2020,Autumn
Suryapet,11, ,2020,Autumn
Suryapet,12, ,2020,Winter
Vikarabad,1, ,2020,Winter
Vikarabad,2, ,2020,Winter
Vikarabad,3, ,2020,Summer
Vikarabad,4, ,2020,Summer
Vikarabad,5, ,2020,Summer
Vikarabad,6, ,2020,Monsoon
Vikarabad,7, ,2020,Monsoon
Vikarabad,8, ,2020,Monsoon
Vikarabad,9, ,2020,Monsoon
Vikarabad,10, ,2020,Autumn
Vikarabad,11, ,2020,Autumn
Vikarabad,12, ,2020,Winter
Wanaparthy ,1,28131,2020,Winter
Wanaparthy ,2,22342,2020,Winter
Wanaparthy ,3,7050,2020,Summer
Wanaparthy ,6,4050,2020,Monsoon
Wanaparthy ,7,17092,2020,Monsoon
Wanaparthy ,8,30860,2020,Monsoon
Wanaparthy ,9,21375,2020,Monsoon
Wanaparthy ,10,29683,2020,Autumn
Wanaparthy ,11,29036,2020,Autumn
Wanaparthy ,12,27057,2020,Winter
Warangal (Rural),1,31550,2020,Winter
Warangal (Rural),2,31050,2020,Winter
Warangal (Rural),3,26050,2020,Summer
Warangal (Rural),7,560,2020,Monsoon
Warangal (Rural),8,870,2020,Monsoon
Warangal (Rural),9,1550,2020,Monsoon
Warangal (Rural),10,2060,2020,Autumn
Warangal (Rural),11,7550,2020,Autumn
Warangal (Rural),12,7530,2020,Winter
Warangal (Urban),1,157630,2020,Winter
Warangal (Urban),2,157950,2020,Winter
Warangal (Urban),3,102520,2020,Summer
Warangal (Urban),7,7300,2020,Monsoon
Warangal (Urban),8,9150,2020,Monsoon
Warangal (Urban),9,12050,2020,Monsoon
Warangal (Urban),10,18350,2020,Autumn
Warangal (Urban),11,91120,2020,Autumn
Warangal (Urban),12,92455,2020,Winter
Yadadri Bhongir,1,493002,2020,Winter
Yadadri Bhongir,2,527311,2020,Winter
Yadadri Bhongir,3,125380,2020,Summer
Yadadri Bhongir,6,76480,2020,Monsoon
Yadadri Bhongir,7,25375,2020,Monsoon
Yadadri Bhongir,8,110587,2020,Monsoon
Yadadri Bhongir,9,110595,2020,Monsoon
Yadadri Bhongir,10,481320,2020,Autumn
Yadadri Bhongir,11,381150,2020,Autumn
Yadadri Bhongir,12,321254,2020,Winter
Adilabad,1,18203,2021,Winter
Adilabad,2,271255,2021,Winter
Adilabad,3,15907,2021,Summer
Adilabad,4,6955,2021,Summer
Adilabad,5,1191,2021,Summer
Adilabad,6,3407,2021,Monsoon
Adilabad,7,26885,2021,Monsoon
Adilabad,8,25338,2021,Monsoon
Adilabad,9,17672,2021,Monsoon
Adilabad,10,16095,2021,Autumn
Adilabad,11,73753,2021,Autumn
Adilabad,12,18484,2021,Winter
Bhadradri Kothagudem,1,199340,2021,Winter
Bhadradri Kothagudem,2,163761,2021,Winter
Bhadradri Kothagudem,3,83871,2021,Summer
Bhadradri Kothagudem,4,38456,2021,Summer
Bhadradri Kothagudem,5,9329,2021,Summer
Bhadradri Kothagudem,6,20090,2021,Monsoon
Bhadradri Kothagudem,7,63082,2021,Monsoon
Bhadradri Kothagudem,8,70386,2021,Monsoon
Bhadradri Kothagudem,9,88451,2021,Monsoon
Bhadradri Kothagudem,10,104063,2021,Autumn
Bhadradri Kothagudem,11,84828,2021,Autumn
